,Date ,"Time in 
(24 hours)","Time out
(24 hours) ",Weather ,Crew Leader (name) ,POI,General Location,Species Code,"Point Area (m²) or
 Line Depth (m)",PolygonLine ID,Direction from trail ,Distribution Code,"Does this cherry laurel or holly plant have a DBH of 20cm+? 
",Holly Berries present?,Proximity to stream or wetland,Vegetation layer ,Native Herb Layer %,X_COORD_x,Y_COORD_x,X_COORD_y,Y_COORD_y
0,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2604,Cleveland,EH,0.5,,E,2.0,,Unknown,10m+,Herb,1-5%,,,-123.221247,49.257856
1,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2605,Cleveland,EH,2.0,,NE,6.0,,Unknown,10m+,Herb,1-5%,,,-123.221109,49.257767
2,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2606,Cleveland,EH,3.0,,NE,6.0,,Unknown,10m+,Mixed,76-100%,,,-123.220887,49.257553
3,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2612,Cleveland,EH,2.0,,E,3.0,,Unknown,10m+,Mixed,26-50%,,,-123.220771,49.257579
4,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2613,Cleveland,EH,2.0,,E,4.0,,Unknown,10m+,Mixed,6-25%,,,-123.220846,49.257453
5,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2614,Cleveland,EH,1.0,,E,3.0,,Unknown,10m+,Mixed,6-25%,,,-123.220726,49.257562
6,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2615,Cleveland,LC,1.5,,E,1.0,,,10m+,Tree,26-50%,,,-123.220842,49.25747
7,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2616,Cleveland,EH,1.0,,E,2.0,,Unknown,10m+,Mixed,6-25%,,,-123.220723,49.257297
8,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2617,Cleveland,EI,6.0,,NE,8.0,,,10m+,Mixed,6-25%,,,-123.2208,49.257291
9,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2618,Cleveland,EH,0.5,,NE,2.0,,Unknown,10m+,Herb,6-25%,,,-123.220797,49.257258
10,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2619,Cleveland,EH,1.0,,NE,4.0,,Unknown,10m+,Mixed,6-25%,,,-123.220634,49.257264
11,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2620,Cleveland,EH,0.5,,NE,1.0,,Unknown,10m+,Herb,1-5%,,,-123.220632,49.257221
12,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2621,Cleveland,EH,0.5,,NE,1.0,,Unknown,10m+,Herb,1-5%,,,-123.220695,49.257135
13,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2622,Cleveland,EH,0.5,,NE,4.0,,Unknown,10m+,Herb,6-25%,,,-123.220449,49.257229
14,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2623,Cleveland,EH,0.5,,NE,1.0,,Unknown,10m+,Herb,76-100%,,,-123.220327,49.257258
15,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2624,Cleveland,EI,0.5,,NE,2.0,,Unknown,10m+,Herb,1-5%,,,-123.219998,49.257184
16,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2625,Cleveland,EH,0.5,,NE,1.0,,Unknown,10m+,Herb,1-5%,,,-123.219993,49.257269
17,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2626,Cleveland,EI,3.0,,NE,8.0,,Unknown,10m+,Herb,1-5%,,,-123.219639,49.257145
18,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2627,Cleveland,EI,2.0,,NE,2.0,,Unknown,10m+,Shrub,26-50%,,,-123.219463,49.257108
19,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2628,Cleveland,EI,1.0,,E,4.0,,,10m+,Herb,1-5%,,,-123.219647,49.257014
20,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2629,Cleveland,EH,3.0,,NE,1.0,,,10m+,Tree,6-25%,,,-123.219369,49.256826
21,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2630,Cleveland,EI,0.5,,NE,1.0,,,10m+,Herb,26-50%,,,-123.219167,49.25652
22,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2631,Admiralty,EH,2.0,,NE,2.0,,,10m+,Tree,51-75%,,,-123.21901,49.256506
23,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2632,Cleveland,EH,3.0,,NE,2.0,,,10m+,Shrub,1-5%,,,-123.218754,49.256105
24,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2635,Cleveland,EH,2.0,,NE,3.0,,,10m+,Herb,1-5%,,,-123.218356,49.255937
25,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2636,Cleveland,EH,5.0,,N,4.0,,Unknown,10m+,Tree,6-25%,,,-123.218254,49.255904
26,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2637,Cleveland,LC,1.0,,N,1.0,,,10m+,Tree,6-25%,,,-123.218331,49.25609
27,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2638,Cleveland,EI,3.0,,N,7.0,,Unknown,10m+,Herb,6-25%,,,-123.218381,49.256075
28,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2639,Cleveland,EI,3.0,,N,3.0,,Unknown,10m+,Mixed,1-5%,,,-123.218351,49.255888
29,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2640,Cleveland,EH,2.0,,N,2.0,,Unknown,10m+,Mixed,6-25%,,,-123.218296,49.255915
30,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2641,Cleveland,EH,0.5,,N,1.0,,Unknown,10m+,Herb,1-5%,,,-123.218351,49.255759
31,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2642,Cleveland,EI,6.0,,N,8.0,,,10m+,Mixed,1-5%,,,-123.218232,49.255766
